"Datum";"Tirol"
"2022-09-19";"0.4474386579184919"
"2022-09-11";"0.2292553239989944"
"2022-09-10";"0.32825194118037837"
"2022-09-09";"0.44548477731622776"
"2022-09-08";"0.38817094631647914"
"2022-09-07";"0.4546028867934605"
"2022-09-06";"0.46632617040704544"
"2022-09-05";"0.5405736332930834"
"2022-09-04";"0.2279527369308183"
"2022-09-03";"0.27354328431698194"
"2022-09-02";"0.32043641877132173"
"2022-09-01";"0.3972890557937119"
"2022-08-31";"0.41161751354364906"
"2022-08-30";"0.43506408077081893"
"2022-08-29";"0.6070055737700647"
"2022-08-28";"0.18105960247647854"
"2022-08-27";"0.3100157222259129"
"2022-08-26";"0.4585106479979888"
"2022-08-25";"0.49237791177056744"
"2022-08-24";"0.4519977126571083"
"2022-08-23";"0.5588098522475489"
"2022-08-22";"0.5718357229293098"
"2022-08-21";"0.2579122394988687"
"2022-08-20";"0.38035542390742255"
"2022-08-19";"0.5588098522475489"
"2022-08-18";"0.5001934341796241"
"2022-08-17";"0.5535995039748445"
"2022-08-16";"0.7424746288603796"
"2022-08-15";"0.2774510455215103"
"2022-08-14";"0.2592148265670448"
"2022-08-13";"0.3464881601348438"
"2022-08-12";"0.5340606979522029"
"2022-08-11";"0.5145218919295613"
"2022-08-10";"0.5939797030883036"
"2022-08-09";"0.6382676634062913"
"2022-08-08";"0.8115117434737131"
"2022-08-07";"0.3425803989303155"
"2022-08-06";"0.41422268768000126"
"2022-08-05";"0.5249425884749702"
"2022-08-04";"0.5679279617247815"
"2022-08-03";"0.6044003996337126"
"2022-08-02";"0.6004926384291842"
"2022-08-01";"0.7997884598601283"
"2022-07-31";"0.3959864687255358"
"2022-07-30";"0.4064071652709446"
"2022-07-29";"0.5653227875884295"
"2022-07-28";"0.5939797030883036"
"2022-07-27";"0.7020944297469204"
"2022-07-26";"1.1085015950178652"
"2022-07-25";"1.0616084605635252"
"2022-07-24";"1.0941731372679278"
"2022-07-23";"0.26182000070339706"
"2022-07-22";"0.8961799029051599"
"2022-07-21";"1.0147153261091855"
"2022-07-20";"1.2270370182218904"
"2022-07-19";"1.8262270695828986"
"2022-07-18";"1.0993834855406321"
"2022-07-17";"0.8180246788145937"
"2022-07-16";"0.9730325399275501"
"2022-07-15";"1.2192214958128338"
"2022-07-14";"1.470620799970822"
"2022-07-13";"1.3559931379713248"
"2022-07-12";"2.121914334058874"
"2022-07-11";"1.2491809983808841"
"2022-07-10";"0.27484587138515804"
"2022-07-09";"0.7698289572920778"
"2022-07-08";"1.060305873495349"
"2022-07-07";"1.1436714458586197"
"2022-07-06";"1.1410662717222675"
"2022-07-05";"1.3025870681761045"
"2022-07-04";"1.431543187925539"
"2022-07-03";"0.5627176134520772"
"2022-07-02";"0.7450798029967318"
"2022-07-01";"0.8466815943144679"
"2022-06-30";"0.9873609976774873"
"2022-06-29";"0.9391652761549714"
"2022-06-28";"1.4354509491300673"
"2022-06-27";"0.7620134348830212"
"2022-06-26";"0.5171270660659135"
"2022-06-25";"0.6369650763381152"
"2022-06-24";"0.6656219918379895"
"2022-06-23";"0.8375634848372352"
"2022-06-22";"0.7789470667693106"
"2022-06-21";"0.9196264701323299"
"2022-06-20";"0.9821506494047828"
"2022-06-19";"0.5067063695205047"
"2022-06-18";"0.5549020910430206"
"2022-06-17";"0.6356624892699391"
"2022-06-16";"0.33606746358943496"
"2022-06-15";"0.7177254745650337"
"2022-06-14";"0.9287445796095625"
"2022-06-13";"0.2813588067260386"
"2022-06-12";"0.26182000070339706"
"2022-06-11";"0.35300109547572434"
"2022-06-10";"0.24488636881710765"
"2022-06-09";"0.36472437908930927"
"2022-06-08";"0.38165801097559865"
"2022-06-07";"0.5549020910430206"
"2022-06-06";"0.10811472665861668"
"2022-06-05";"0.16673114472654138"
"2022-06-04";"0.19408547315823957"
"2022-06-03";"0.26182000070339706"
"2022-06-02";"0.24358378174893155"
"2022-06-01";"0.29829243861232796"
"2022-05-31";"0.2201372145217617"
"2022-05-30";"0.24228119468075543"
"2022-05-29";"0.10811472665861668"
"2022-05-28";"0.1445871645675476"
"2022-05-27";"0.15631044818113257"
